                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.63372,                 0.6232,                0.99069,                0.99909,                0.94667,                0.99117,                0.88297,                0.45915,                0.51637,                0.83864,              0.0002048,              0.0002048,              0.0002048
                    138,                0.57824,                0.58182,                0.99552,                0.98624,                0.95597,                0.99228,                0.89663,                0.45534,                0.50808,                 0.8379,              0.0001916,              0.0001916,              0.0001916
                    139,                0.60727,                0.60015,                 1.0306,                0.98624,                0.95597,                0.99228,                0.89663,                0.45534,                0.50808,                 0.8379,              0.0001784,              0.0001784,              0.0001784
                    140,                0.62974,                0.62649,                0.98902,                0.99642,                   0.96,                0.99303,                0.89381,                0.44634,                0.50292,                0.83426,              0.0001652,              0.0001652,              0.0001652
                    141,                0.59419,                0.81142,                 1.0868,                0.99642,                   0.96,                0.99303,                0.89381,                0.44634,                0.50292,                0.83426,               0.000152,               0.000152,               0.000152
                    142,                0.52525,                0.82625,                0.95907,                0.99777,                   0.96,                0.99329,                0.89339,                 0.4399,                0.49278,                0.83315,              0.0001388,              0.0001388,              0.0001388
                    143,                 0.4717,                 0.6239,                0.88557,                0.99777,                   0.96,                0.99329,                0.89339,                 0.4399,                0.49278,                0.83315,              0.0001256,              0.0001256,              0.0001256
                    144,                0.43956,                 0.6333,                0.92832,                      1,                0.95944,                0.99329,                 0.8956,                 0.4358,                0.48698,                0.83149,              0.0001124,              0.0001124,              0.0001124
                    145,                0.50314,                0.68798,                0.95141,                      1,                0.95944,                0.99329,                 0.8956,                 0.4358,                0.48698,                0.83149,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.47905,                 0.6974,                0.93916,                      1,                0.95791,                 0.9934,                0.89894,                0.43074,                0.48328,                0.82999,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.49543,                0.69962,                0.92805,                      1,                0.95791,                 0.9934,                0.89894,                0.43074,                0.48328,                0.82999,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.44459,                0.57979,                0.88261,                      1,                0.95729,                0.99349,                0.90242,                 0.4274,                0.47984,                0.82903,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.45323,                0.57065,                0.86732,                      1,                0.95729,                0.99349,                0.90242,                 0.4274,                0.47984,                0.82903,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.48236,                0.59506,                0.92589,                      1,                0.95729,                 0.9936,                0.91066,                0.42373,                0.47837,                0.82866,               3.32e-05,               3.32e-05,               3.32e-05
